fips,pop
36115,61204
36013,126903
36047,2559903
36061,1628706
36107,48203
36011,76576
36073,40352
36091,229863
36087,325789
36021,59461
36049,26296
36063,209281
36119,967506
36025,44135
35027,19572
36031,36885
36057,49221
36059,1356924
36085,476143
36089,107740
36097,17807
36109,102180
36113,63944
36017,47207
36023,47581
36027,294218
36045,109834
36055,741770
36065,228671
36103,1476601
36111,177573
36121,39859
36015,83456
36051,62914
36075,117124
36077,59493
36039,47188
36117,89918
36001,305506
36003,46091
36007,190488
36009,76117
36029,918702
36053,70941
36093,155299
36105,75432
36037,57280
36123,24913
36071,384940
37079,21069
37087,62317
37121,14964
37041,13943
72095,10321
72113,131881
72135,72025
72137,74271
72147,8386
72151,32282
72003,36694
72025,124606
72041,38307
72043,38336
72051,36141
72089,17665
72019,27725
72107,20220
72129,35989
72037,10904
72039,15808
72071,40423
72073,13891
72081,24276
72085,37007
72127,318441
72143,36061
72145,50023
72093,5430
37027,82178
37035,159551
37045,97947
37049,102139
37065,51472
37077,60443
37085,135976
37093,55234
37089,117417
37095,4937
37097,181806
37119,1110356
37131,19483
37147,180742
37159,142088
37181,44535
37039,28612
37053,27763
37179,239859
37193,68412
37067,382295
37127,94298
37003,37497
37017,32722
37055,37009
37031,69473
37185,19731
37195,81801
37015,18947
37073,11562
37075,8441
37117,22440
37115,21755
37137,12726
37143,13463
37149,20724
37151,143667
37157,91010
37169,45591
37187,11580
37029,10867
37043,11231
37051,335509
37005,11137
37071,224529
37081,537174
37099,43938
37125,100880
37139,39824
37155,130625
37167,62806
37173,14271
37183,1111761
37199,18069
37007,24446
37037,74470
37111,45756
37069,69685
37101,209339
37103,9419
37113,35858
37145,39490
37019,142820
37175,34385
37009,27203
37013,46994
37047,55508
37107,55949
37109,86111
37123,27173
37133,197938
37135,148476
37153,44829
37161,67029
37163,63531
37171,71783
37197,37667
37011,17557
37021,261191
37023,90485
37025,216453
37059,42846
37057,167609
37061,58741
37063,321488
37091,23677
37105,61779
37129,234473
37141,63060
37191,123131
37165,34823
37189,56177
37083,50010
37001,169509
37177,4016
38089,31489
38103,3834
38013,2115
38061,10545
38097,8036
38105,37589
38007,928
38021,4872
38043,2480
38019,3762
38101,67641
38037,2274
38049,5745
38067,6801
38091,1890
38005,6832
38041,2499
38045,4046
38059,31364
38017,181923
38025,4424
38029,3241
38051,2497
38063,2879
38077,16177
38079,14176
38099,10641
38001,2216
38009,6282
38003,10415
38027,2287
38035,69451
38053,15024
37033,22604
38057,8187
38055,9450
38069,3975
38073,5218
38075,2327
38085,4230
38011,3024
38015,95626
38033,1761
38047,1850
38065,1959
38095,2189
38093,20704
38071,11519
38023,2264
38031,3210
38039,2231
38081,3898
38083,1315
38087,750
39105,22907
39159,58988
39021,38885
39131,27772
39125,18672
39057,168937
39061,817473
39049,1316756
39087,59463
39101,65093
39115,14508
39157,91987
39169,115710
39175,21772
39015,43432
39017,383134
39043,74266
39083,62322
39089,176862
39139,121154
39163,13085
39019,26914
39063,75783
39025,206428
39045,157574
39039,38087
39071,43161
39069,27006
39081,65325
39133,162466
39137,33861
39013,67006
39027,41968
39047,28525
39127,36134
39129,58457
39091,45672
39097,44731
39153,541013
39119,86215
39143,58518
39149,48590
39161,28275
39167,59911
39171,36692
39011,45656
39029,101883
39037,51113
39123,40525
39051,42126
39065,31365
39079,32413
39053,29898
39077,58266
39099,228683
39009,65327
39001,27698
39145,75314
39103,179746
39095,428348
39067,15040
39117,35328
39121,14424
39135,40882
39147,55178
39151,370606
39003,102351
39031,36600
39033,41494
39041,209177
39055,93649
39059,38875
39073,28264
39085,230149
39107,41172
39141,76666
39023,134083
39035,1235072
39075,43960
39093,309833
39109,106987
39111,13654
39113,531687
39155,197974
39165,234602
18175,28036
18027,33351
18029,49458
18065,47972
18083,36594
18093,45370
18095,129569
18123,19169
18125,12389
18131,12353
18129,25427
18151,34594
18171,8265
18165,15498
18179,28296
18003,379299
18031,26559
18035,114135
18043,78522
18077,32308
18079,27735
18081,158167
18103,35516
18109,70489
18051,33659
18111,13984
18117,19646
18141,271826
18085,79456
18099,46258
18155,10751
18163,181451
18009,11758
18015,20257
18143,23873
18105,148431
18045,16346
18039,206341
18149,22995
18025,10577
18017,37689
